N_Series,Series_ID,Horizon,MAE,RMSE
370,MT_034,96,2.123466570506109,2.7750805923132864
370,MT_035,96,11.902456534618649,19.549143583622257
370,MT_036,96,3.924390070785831,6.218593985529365
370,MT_037,96,6.1269887651188695,8.047914221032112
370,MT_038,96,10.539909717300159,13.524866600540534
370,MT_039,96,5.161589871132423,6.832184500318958
370,MT_040,96,7.188668157373159,9.592839723687804
370,MT_041,96,7.84837852463579,9.413473593514487
370,MT_042,96,4.123678609634138,5.405958562219726
370,MT_043,96,212.57619447419157,274.9658445947736
370,MT_044,96,3.857324484064384,5.161032717714817
370,MT_045,96,12.786094637086558,17.98180685520789
370,MT_046,96,13.159767640145532,16.494875908444047
370,MT_047,96,2.72596192612486,3.590245146159026
370,MT_048,96,1.7793350566094759,2.2289586906178007
370,MT_049,96,89.66080972422704,103.13482859343006
370,MT_050,96,20.687445462669185,26.954104211934318
370,MT_051,96,5.2776826069932286,6.634972678445238
370,MT_052,96,4.288672646622596,5.716320775979143
370,MT_053,96,6.78900827270743,8.997965510673449
370,MT_054,96,4.534796748420509,6.081882947490461
370,MT_055,96,1.9189475852377427,2.557081550984723
370,MT_056,96,2.957019893520465,4.003707763640218
370,MT_057,96,5.467148845182911,7.265237858241753
370,MT_058,96,7.41504494550114,9.76185525883435
370,MT_059,96,20.349602818105325,24.41745410753858
370,MT_060,96,2.647479000388476,3.5589468664136548
370,MT_061,96,7.440248601863554,9.43758772159723
370,MT_062,96,4.187045300649899,5.893697414429005
370,MT_063,96,2.9402519963096343,3.960076181799854
370,MT_064,96,137.9994210626323,179.17817751830157
370,MT_065,96,6.617879867553715,8.228656973095998
370,MT_066,96,0.1526919904718821,0.32306604720381804
370,MT_067,96,18.655529432129434,24.973699524810062
370,MT_068,96,19.94253253973649,24.590302505792422
370,MT_069,96,22.71739417993565,26.40632386139785
370,MT_070,96,3.2902020609915543,4.385841184805138
370,MT_071,96,3.767731599008983,5.173290362287284
