Model,Series_ID,Horizon,MAE,RMSE
Chronos-2,MT_236,96,6.25745082545258,9.228596690409079
Chronos-2,MT_237,96,3.227326244471596,4.596788474727745
Chronos-2,MT_238,96,19.711284319559734,24.67880525614269
Chronos-2,MT_239,96,6.032375548557979,8.694281497300802
Chronos-2,MT_240,96,11.22424160141545,17.24799024883485
Chronos-2,MT_241,96,146.22764997129116,180.93554321087936
Chronos-2,MT_242,96,9.149683935386888,11.116161876787725
Chronos-2,MT_243,96,10.666747728256487,13.59594944356905
Chronos-2,MT_244,96,7.696402270162946,11.289443641472841
Chronos-2,MT_245,96,9.587100184283585,12.9281160559735
Chronos-2,MT_246,96,28.83453518193451,37.637824253477646
Chronos-2,MT_247,96,20.2357638267753,27.567386136431022
Chronos-2,MT_248,96,8.313036990086285,9.918235328131448
Chronos-2,MT_249,96,6.240766990752449,7.464078842728019
Chronos-2,MT_250,96,4.514442149360849,5.8640323072774025
Chronos-2,MT_251,96,4.168513012276434,5.8891138340855145
Chronos-2,MT_252,96,10.485553670270797,14.50195720646776
Chronos-2,MT_253,96,14.176630890687639,17.33410777472934
Chronos-2,MT_254,96,15.263076248778583,22.077226947661686
Chronos-2,MT_255,96,42.00823871444611,90.31598771168701
Chronos-2,MT_256,96,12.881358148987838,16.376001327374624
Chronos-2,MT_257,96,9.750112113160878,12.112887816290893
Chronos-2,MT_258,96,6.199944515834932,7.7157147932201555
Chronos-2,MT_259,96,7.655780749678833,10.662911290790493
Chronos-2,MT_260,96,9.368360445385889,13.605255627293344
Chronos-2,MT_261,96,4.348299152120596,7.035200239922161
Chronos-2,MT_262,96,8.750722177846244,14.337835313930391
Chronos-2,MT_263,96,6.576779797904838,9.493881259503356
Chronos-2,MT_264,96,10.528570717360038,13.93491843797114
Chronos-2,MT_265,96,10.268013697982704,13.23604927591188
Chronos-2,MT_266,96,13.268290260925497,18.715021542915245
Chronos-2,MT_267,96,2.730078409576741,3.5769726472042542
Chronos-2,MT_268,96,11.681562656659928,15.91534925264704
Chronos-2,MT_269,96,42.639918490818594,58.77894895043056
Chronos-2,MT_270,96,6.027105979794136,8.241260670667925
Chronos-2,MT_271,96,6.526598788900756,8.84667706451537
Chronos-2,MT_272,96,3.9479033645354136,5.400147673073238
Chronos-2,MT_273,96,22.59230500346312,29.793981634604407
Chronos-2,MT_274,96,13.196650696787636,17.234297298428327
Chronos-2,MT_275,96,4.465466251871504,5.976919429675999
Chronos-2,MT_276,96,57.69614889440796,76.93995473187762
Chronos-2,MT_277,96,3.594758359341965,5.036623242103815
Chronos-2,MT_278,96,2.0113354169886826,2.6257705335081623
Chronos-2,MT_279,96,858.8846164279481,1301.721951514788
Chronos-2,MT_280,96,12.273358386239849,19.689023736135088
Chronos-2,MT_281,96,4.18360490597253,5.938720557503401
Chronos-2,MT_282,96,4.78693653157342,8.832380077379042
Chronos-2,MT_283,96,11.72491460708357,15.29138176332842
Chronos-2,MT_284,96,6.056183073056572,8.01176344197063
